file,optimum,bnb_cost,bnb_time,bnb_mem,bnb_ratio,tat_cost,tat_time,tat_mem,tat_ratio,christ_cost,christ_time,christ_mem,christ_ratio
ulysses16,6859,NA,NA,NA,NA,84.13312304067571,0.0010302066802978516,59.421875,0.0123,75.00298540522243,0.0029556751251220703,98.498046875,0.0109
u724,41910,NA,NA,NA,NA,57779.66789292217,1.3364439010620117,113523.33203125,1.3787,NA,NA,NA,NA
kroD100,21294,NA,NA,NA,NA,27113.29664042698,0.024441003799438477,2008.4609375,1.2733,23587.75136035071,0.1428358554840088,1986.349609375,1.1077
linhp318,41345,NA,NA,NA,NA,58145.441917056065,0.22991418838500977,18934.98828125,1.4063,47259.75653586447,2.378871202468872,18792.87109375,1.1431
pr299,48191,NA,NA,NA,NA,64646.03471992065,0.19139528274536133,16788.18359375,1.3415,52968.219790603056,2.0313220024108887,16789.83984375,1.0991
rd400,15281,NA,NA,NA,NA,20250.376744292647,0.5826668739318848,33238.31640625,1.3252,17551.74562434106,8.158447027206421,33095.99609375,1.1486
gr202,40160,NA,NA,NA,NA,627.7099056373067,0.12750482559204102,8107.6328125,0.0156,528.1092991621508,1.622715950012207,8265.263671875,0.0132
vm1084,239297,NA,NA,NA,NA,315268.3487491507,3.2210049629211426,236220.51953125,1.3175,NA,NA,NA,NA
rat575,6773,NA,NA,NA,NA,9438.933433360664,0.8478171825408936,65118.08203125,1.3936,NA,NA,NA,NA
d1655,62128,NA,NA,NA,NA,85681.0784168341,8.3354172706604,579753.51953125,1.3791,NA,NA,NA,NA
ch150,6528,NA,NA,NA,NA,8333.472170089168,0.062196969985961914,4148.1328125,1.2766,7112.036891270508,0.2194368839263916,4005.6875,1.0895
d15112,1573084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pr107,44303,NA,NA,NA,NA,54238.03661175547,0.030712127685546875,2260.859375,1.2243,47894.18468460625,0.10896182060241699,2257.701171875,1.0811
kroB200,29437,NA,NA,NA,NA,40710.95987899587,0.08801889419555664,7971.125,1.383,33118.12196028457,0.820181131362915,7829.0625,1.1251
brd14051,469385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a280,2579,NA,NA,NA,NA,3629.7203051092397,0.22759604454040527,14768.30859375,1.4074,2975.114776582676,1.7710578441619873,14626.26953125,1.1536
d1291,50801,NA,NA,NA,NA,74658.29731002661,5.417391061782837,325726.52734375,1.4696,NA,NA,NA,NA
gr229,134602,NA,NA,NA,NA,2069.889089085494,0.1636519432067871,10127.4609375,0.0154,1773.5937310805518,2.2353618144989014,9985.3984375,0.0132
